epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1229,0.99593,4.10095,1.09439,0.00231,0.39612,0.02547,0.00884,0.57199,4.07294,0.94207,3.845e-05,3.845e-05,3.845e-05
2,43.1035,0.87284,3.9341,1.04221,0.00255,0.38267,0.04066,0.01537,0.57068,4.06087,0.91656,5.66753e-05,5.66753e-05,5.66753e-05
3,66.6557,0.84674,3.73957,1.02207,0.00212,0.3571,0.04543,0.02301,0.55895,4.05383,0.89813,4.44482e-05,4.44482e-05,4.44482e-05
