epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.98969,0.93729,4.07982,1.11634,0.00285,0.53144,0.04966,0.01808,0.63652,4.08753,0.94993,0.000320417,0.000320417,0.000320417
2,3.23597,0.97267,4.12173,1.08675,0.00272,0.48514,0.05128,0.02073,0.64796,4.08999,0.95395,0.000472294,0.000472294,0.000472294
3,3.84953,1.00114,4.09516,1.13612,0.00266,0.44193,0.08131,0.03257,0.66091,4.10193,0.95812,0.00026146,0.00026146,0.00026146
