epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7214,0.96609,4.09034,1.07575,0.003,0.49577,0.02926,0.00984,0.56498,4.07179,0.9405,3.845e-05,3.845e-05,3.845e-05
2,35.1682,0.86452,3.93227,1.03921,0.0024,0.27156,0.0432,0.01569,0.5606,4.07454,0.91659,5.66753e-05,5.66753e-05,5.66753e-05
3,53.9902,0.86945,3.74204,1.0348,0.00243,0.27156,0.06027,0.03082,0.54797,4.05617,0.90584,4.44482e-05,4.44482e-05,4.44482e-05
