epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4007,0.96738,4.07417,1.07627,0.00268,0.46402,0.02836,0.01043,0.52086,4.06879,0.92675,3.845e-05,3.845e-05,3.845e-05
2,25.0723,0.84587,3.92204,1.03562,0.00243,0.31124,0.03548,0.00974,0.55719,4.08005,0.92661,5.66753e-05,5.66753e-05,5.66753e-05
3,34.8595,0.83728,3.71834,1.01364,0.00213,0.24334,0.09012,0.0249,0.53424,4.06243,0.896,4.44482e-05,4.44482e-05,4.44482e-05
