epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.807,0.87688,3.85001,1.12437,0.01442,0.96561,0.09147,0.07216,0.61315,3.80075,0.94275,3.845e-05,3.845e-05,3.845e-05
2,102.96,0.74946,3.6131,1.07705,0.01042,1,0.16031,0.14084,0.45449,3.76361,0.87483,6.78412e-05,6.78412e-05,6.78412e-05
3,152.401,0.70635,3.31925,1.07511,0.00992,0.98413,0.19409,0.17456,0.47966,3.73593,0.88282,7.89609e-05,7.89609e-05,7.89609e-05
4,200.849,0.64728,3.14647,1.02994,0.01074,0.98413,0.19517,0.17327,0.46902,3.70118,0.88202,7.18092e-05,7.18092e-05,7.18092e-05
5,253.581,0.67047,3.05486,1.06698,0.01112,0.98413,0.21629,0.19483,0.44558,3.66693,0.8705,4.63861e-05,4.63861e-05,4.63861e-05
