epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.04898,1.09666,4.43967,1.05028,0.00112,0.05093,0.00198,0.00049,0.55381,4.26481,0.88632,8.459e-05,8.459e-05,8.459e-05
2,8.56636,0.94672,4.19506,0.99803,0.00109,0.05093,0.00171,0.00042,0.78169,4.20161,0.89979,0.000165197,0.000165197,0.000165197
3,12.6309,0.86887,3.99243,0.95768,0.00205,0.14458,0.00989,0.0044,0.58692,4.10838,0.86561,0.000233622,0.000233622,0.000233622
4,16.567,0.88529,3.78726,0.97624,0.00711,0.64819,0.16245,0.12391,0.63768,3.9418,0.85452,0.000289867,0.000289867,0.000289867
5,20.8783,0.87027,3.60956,0.96961,0.01025,0.88228,0.29338,0.20322,0.77457,3.70518,0.87474,0.000333931,0.000333931,0.000333931
6,25.2906,0.74406,3.00592,0.90873,0.71589,0.11111,0.36959,0.3073,0.72753,3.34025,0.87334,0.000365813,0.000365813,0.000365813
7,29.7541,0.69637,2.8947,0.88257,0.50895,0.19446,0.39466,0.33422,0.64583,2.95614,0.85989,0.000385515,0.000385515,0.000385515
8,37.4955,0.72317,2.70102,0.90136,0.50248,0.42596,0.41745,0.35318,0.63033,2.70747,0.86478,0.000393036,0.000393036,0.000393036
9,43.074,0.69966,2.51362,0.91829,0.44673,0.54173,0.41804,0.35038,0.63234,2.31449,0.88142,0.000362968,0.000362968,0.000362968
10,46.2684,0.70501,2.2969,0.88921,0.41085,0.58846,0.42162,0.34805,0.68143,2.12871,0.89825,0.000312214,0.000312214,0.000312214
11,49.0309,0.69886,2.29876,0.89616,0.50088,0.4498,0.53615,0.4534,0.6814,1.93599,0.90973,0.00026146,0.00026146,0.00026146
12,52.3592,0.66274,2.15534,0.89082,0.61774,0.46568,0.53768,0.461,0.65338,1.87384,0.90267,0.000210706,0.000210706,0.000210706
13,55.5773,0.66104,2.15354,0.90634,0.66571,0.47656,0.49462,0.42249,0.59697,1.82078,0.88556,0.000159952,0.000159952,0.000159952
14,58.18,0.70037,2.08987,0.92392,0.43055,0.5746,0.49559,0.44018,0.57962,1.81234,0.8804,0.000109198,0.000109198,0.000109198
15,60.7253,0.70292,2.02261,0.90675,0.56945,0.58101,0.50202,0.44671,0.57588,1.80206,0.87713,5.8444e-05,5.8444e-05,5.8444e-05
