epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.846457,0.93795,4.07833,1.11311,0.00269,0.51645,0.04648,0.01908,0.66196,4.10498,0.96651,0.000320417,0.000320417,0.000320417
2,1.55221,1.002,4.13827,1.09924,0.00262,0.51446,0.04641,0.01839,0.65756,4.10554,0.96253,0.000472294,0.000472294,0.000472294
3,2.22818,1.0092,4.04024,1.13128,0.00177,0.22747,0.03549,0.01768,0.61784,4.08328,0.93677,0.00026146,0.00026146,0.00026146
