epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.43138,1.27434,4.55339,1.14196,0,0,0,0,0.7848,4.36741,0.96423,3.845e-05,3.845e-05,3.845e-05
2,6.49721,1.02649,4.39327,1.06955,0,0,0,0,0.80351,4.28084,0.93592,7.90071e-05,7.90071e-05,7.90071e-05
3,9.69092,0.91384,4.16036,1.00388,0.00084,0.03611,0.0016,0.00047,0.72722,4.19117,0.88633,0.000113474,0.000113474,0.000113474
4,13.172,0.9041,3.99426,0.99064,0.00185,0.0929,0.00248,0.00057,0.61957,4.16875,0.86755,0.00014185,0.00014185,0.00014185
5,16.3109,0.89802,3.86245,0.96624,0.00443,0.33655,0.05179,0.02258,0.66408,4.10256,0.87297,0.000164135,0.000164135,0.000164135
6,22.1866,0.75796,3.48508,0.89332,0.00774,0.70516,0.16424,0.07399,0.73023,4.016,0.87369,0.000180331,0.000180331,0.000180331
7,25.8533,0.72531,3.3053,0.88801,0.00925,0.91314,0.16322,0.09549,0.76434,3.85849,0.86424,0.000190435,0.000190435,0.000190435
8,31.169,0.72721,3.06911,0.88651,0.00962,0.95789,0.2143,0.1431,0.76434,3.64904,0.85667,0.000194449,0.000194449,0.000194449
9,34.5457,0.68249,2.87859,0.89294,0.0098,0.97178,0.25354,0.18086,0.74004,3.48695,0.8725,0.000192373,0.000192373,0.000192373
10,40.438,0.67962,2.80837,0.90198,0.46545,0.13474,0.32218,0.23928,0.75741,3.37467,0.89392,0.000184206,0.000184206,0.000184206
11,46.1076,0.70505,2.68109,0.89051,0.76135,0.05278,0.3911,0.31847,0.73238,3.22871,0.89628,0.000169949,0.000169949,0.000169949
12,48.4282,0.72389,2.53504,0.88418,0.5729,0.1453,0.42291,0.3512,0.70977,3.05407,0.8901,0.000149601,0.000149601,0.000149601
13,51.5458,0.65094,2.43812,0.86557,0.56878,0.2653,0.44513,0.36936,0.73058,2.91828,0.90809,0.000123163,0.000123163,0.000123163
14,57.1267,0.72446,2.393,0.89768,0.5374,0.38125,0.47122,0.3917,0.70683,2.778,0.91241,9.06343e-05,9.06343e-05,9.06343e-05
15,59.7988,0.65712,2.26827,0.87687,0.50268,0.37641,0.47484,0.40183,0.70304,2.70367,0.91843,5.20152e-05,5.20152e-05,5.20152e-05
