epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0167,0.90761,4.02161,1.07788,0.00302,0.49577,0.03844,0.01924,0.49686,4.03562,0.91657,3.845e-05,3.845e-05,3.845e-05
2,28.4141,0.84757,3.82277,1.05443,0.00275,0.44021,0.04856,0.03524,0.50895,4.01879,0.89963,8.17985e-05,8.17985e-05,8.17985e-05
3,40.862,0.76504,3.40573,0.99866,0.00579,0.86777,0.11321,0.08366,0.53527,3.88725,0.86455,0.000122102,0.000122102,0.000122102
4,47.5042,0.78669,3.24897,1.02187,0.00652,0.92857,0.18397,0.15541,0.53348,3.65193,0.83351,0.00015936,0.00015936,0.00015936
5,54.5696,0.78026,3.09703,1.00564,0.00705,0.98413,0.21945,0.18652,0.56183,3.49551,0.82622,0.000193573,0.000193573,0.000193573
6,64.44,0.80172,2.75784,1.04961,0.00686,0.98413,0.35749,0.3062,0.5551,3.34431,0.81604,0.00022474,0.00022474,0.00022474
7,78.6261,0.85102,2.7592,1.04615,0.00689,0.98413,0.37918,0.33276,0.54744,3.20829,0.82091,0.000252863,0.000252863,0.000252863
8,90.1664,0.79352,2.4751,1.04687,0.00693,0.98413,0.40026,0.35103,0.58787,3.09263,0.83921,0.00027794,0.00027794,0.00027794
9,100.057,0.79976,2.39577,1.02357,0.8474,0.14862,0.39361,0.34957,0.58843,2.91408,0.85363,0.000299972,0.000299972,0.000299972
10,111.869,0.74615,2.15895,1.01934,0.78271,0.19517,0.48496,0.42968,0.60941,2.75354,0.87336,0.000318958,0.000318958,0.000318958
11,123.214,0.80796,2.07128,1.04271,0.57698,0.38802,0.56102,0.49848,0.59475,2.58328,0.86567,0.0003349,0.0003349,0.0003349
12,134.569,0.76415,1.89766,1.0119,0.65235,0.51085,0.58013,0.51424,0.63146,2.45308,0.86807,0.000347796,0.000347796,0.000347796
13,142.968,0.74379,1.8678,0.99641,0.48055,0.43189,0.52279,0.45241,0.61163,2.3167,0.86415,0.000357647,0.000357647,0.000357647
14,158.456,0.75017,1.73424,1.01511,0.52365,0.51286,0.58792,0.51241,0.64009,2.13812,0.86881,0.000364452,0.000364452,0.000364452
15,179.168,0.73867,1.63061,0.98335,0.49312,0.58855,0.60064,0.53135,0.61696,1.98042,0.86164,0.000368213,0.000368213,0.000368213
16,200.43,0.75319,1.60616,1.01146,0.50081,0.69141,0.6549,0.59583,0.54777,1.73676,0.84597,0.000368928,0.000368928,0.000368928
17,224.297,0.70077,1.59032,1.01448,0.52081,0.69033,0.70876,0.63913,0.57307,1.64034,0.85059,0.000362968,0.000362968,0.000362968
18,247.927,0.69205,1.54891,1.00881,0.63708,0.7092,0.73095,0.65786,0.57467,1.49513,0.8513,0.000337591,0.000337591,0.000337591
19,285.239,0.74212,1.5295,1.00582,0.58391,0.69877,0.7043,0.62201,0.56932,1.46998,0.84869,0.000312214,0.000312214,0.000312214
20,303.751,0.68789,1.4103,0.99609,0.60165,0.68736,0.6909,0.61597,0.52613,1.40319,0.83738,0.000286837,0.000286837,0.000286837
21,324.518,0.50468,1.25047,0.91065,0.80616,0.55463,0.70837,0.63301,0.50077,1.31104,0.83541,0.00026146,0.00026146,0.00026146
22,345.559,0.48472,1.12365,0.88117,0.65285,0.85023,0.85846,0.79303,0.46577,1.17206,0.83808,0.000236083,0.000236083,0.000236083
23,360.741,0.47047,1.12712,0.85724,0.74621,0.72742,0.8289,0.76376,0.4664,1.1542,0.8455,0.000210706,0.000210706,0.000210706
24,380.056,0.48095,1.13717,0.88135,0.8633,0.65945,0.7756,0.71086,0.44956,1.1545,0.83051,0.000185329,0.000185329,0.000185329
25,399.232,0.45565,1.06591,0.87115,0.92735,0.65063,0.79938,0.72827,0.45933,1.15079,0.83519,0.000159952,0.000159952,0.000159952
26,413.951,0.45485,1.00813,0.86961,0.90903,0.6543,0.79756,0.7258,0.47056,1.15808,0.83318,0.000134575,0.000134575,0.000134575
27,427.235,0.4547,1.04217,0.87673,0.91108,0.65633,0.84904,0.77688,0.47465,1.14387,0.83745,0.000109198,0.000109198,0.000109198
28,441.522,0.42956,1.01717,0.87776,0.73542,0.86324,0.88431,0.83558,0.47184,1.09317,0.84116,8.3821e-05,8.3821e-05,8.3821e-05
29,463.729,0.44129,0.96048,0.86504,0.7362,0.84789,0.88392,0.83781,0.46168,1.06065,0.83843,5.8444e-05,5.8444e-05,5.8444e-05
30,485.294,0.41064,0.9457,0.86292,0.733,0.84675,0.88156,0.82908,0.44998,1.00907,0.83779,3.3067e-05,3.3067e-05,3.3067e-05
