epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6605,0.87688,3.85001,1.12437,0.01442,0.96561,0.09147,0.07216,0.61315,3.80075,0.94275,3.845e-05,3.845e-05,3.845e-05
2,80.1131,0.75205,3.61873,1.07908,0.01067,1,0.15101,0.13075,0.46645,3.76608,0.87773,6.3654e-05,6.3654e-05,6.3654e-05
3,122.524,0.70922,3.35607,1.07268,0.00964,1,0.1909,0.17255,0.46498,3.74781,0.86929,6.60186e-05,6.60186e-05,6.60186e-05
4,168.008,0.6731,3.22009,1.04447,0.01008,0.98413,0.21417,0.19475,0.4673,3.72229,0.87217,4.5544e-05,4.5544e-05,4.5544e-05
