epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7954,1.12722,4.42234,1.06246,0.00106,0.05093,0.0027,0.0006,0.5473,4.2461,0.87733,8.459e-05,8.459e-05,8.459e-05
2,6.92876,0.95708,4.2086,1.00059,0.00175,0.08086,0.02398,0.01441,0.82718,4.18956,0.9009,0.000165197,0.000165197,0.000165197
3,9.25315,0.89611,3.91555,0.98946,0.00374,0.23025,0.04211,0.03307,0.56515,4.0709,0.8509,0.000233622,0.000233622,0.000233622
4,12.4863,0.93434,3.73892,0.95936,0.00674,0.57941,0.14141,0.10445,0.60325,3.94761,0.85143,0.000289867,0.000289867,0.000289867
5,14.9086,0.89309,3.55892,0.95166,0.00857,0.79431,0.19376,0.15276,0.64048,3.67516,0.85488,0.000333931,0.000333931,0.000333931
6,19.3977,0.74389,2.99095,0.89476,0.56054,0.13333,0.29962,0.23762,0.62862,3.38219,0.85055,0.000365813,0.000365813,0.000365813
7,53.364,0.75004,2.89885,0.92381,0.51257,0.24492,0.39517,0.31513,0.63248,2.9307,0.86521,0.000385515,0.000385515,0.000385515
8,60.6343,0.73786,2.59762,0.88512,0.41962,0.409,0.40863,0.33922,0.64824,2.66326,0.87056,0.000393036,0.000393036,0.000393036
9,63.483,0.69116,2.52042,0.89992,0.29796,0.57277,0.44482,0.37522,0.62879,2.23106,0.8779,0.000362968,0.000362968,0.000362968
10,65.9272,0.65915,2.39499,0.897,0.47214,0.5603,0.47057,0.40567,0.64195,2.09893,0.88146,0.000312214,0.000312214,0.000312214
11,68.6031,0.69049,2.31866,0.89583,0.32395,0.68551,0.58033,0.47312,0.59429,1.93211,0.8741,0.00026146,0.00026146,0.00026146
12,71.2595,0.66584,2.17045,0.87024,0.52157,0.60064,0.58281,0.48898,0.57175,1.84552,0.86734,0.000210706,0.000210706,0.000210706
13,73.783,0.64233,2.01897,0.87401,0.39597,0.78322,0.60652,0.52882,0.53776,1.77285,0.8611,0.000159952,0.000159952,0.000159952
14,76.0906,0.63482,2.04761,0.8782,0.33658,0.69881,0.59602,0.52203,0.52846,1.75175,0.86,0.000109198,0.000109198,0.000109198
15,80.1487,0.63511,1.99566,0.87657,0.38797,0.68038,0.58704,0.51718,0.52663,1.74032,0.85987,5.8444e-05,5.8444e-05,5.8444e-05
