epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.12373,0.91029,4.04335,1.08946,0.00383,0.6172,0.03869,0.01836,0.62447,4.04376,0.93965,0.000213611,0.000213611,0.000213611
2,1.82929,0.9343,4.09206,1.07095,0.00129,0.11834,0.01783,0.0092,0.86054,4.09519,0.99237,0.000454436,0.000454436,0.000454436
3,2.91407,1.17944,3.55822,1.16758,0.00346,0.50675,0.0798,0.06135,0.67026,4.00979,0.92636,0.000678343,0.000678343,0.000678343
4,3.66272,1.03426,3.27166,1.11016,0.00689,0.98413,0.22754,0.17899,0.70418,3.55758,0.8686,0.000692869,0.000692869,0.000692869
5,4.51557,0.84611,2.90504,1.03525,0.00698,0.98413,0.2043,0.16892,0.69924,3.43265,0.86807,0.000667492,0.000667492,0.000667492
6,5.49789,0.87164,2.78041,1.07539,0.00701,0.98413,0.21288,0.17199,0.64186,3.32611,0.84206,0.000642115,0.000642115,0.000642115
7,6.33273,0.81462,2.55302,1.0447,0.00704,0.98413,0.23557,0.19061,0.62688,3.27416,0.84148,0.000616738,0.000616738,0.000616738
8,7.10991,0.77777,2.34666,1.02478,0.59836,0.12963,0.34355,0.28152,0.58889,3.11563,0.82835,0.000591361,0.000591361,0.000591361
9,7.88869,0.83496,2.30648,1.07371,1,0.10616,0.3437,0.30429,0.60563,3.04182,0.82972,0.000565984,0.000565984,0.000565984
10,8.75468,0.82966,2.20472,1.05786,0.44417,0.18751,0.39189,0.33841,0.60683,2.90737,0.84307,0.000540607,0.000540607,0.000540607
11,9.67718,0.8197,2.13426,1.04734,0.43477,0.18237,0.4267,0.37319,0.59117,2.82381,0.8347,0.00051523,0.00051523,0.00051523
12,10.7136,0.74494,2.00783,1.01135,0.58751,0.25106,0.54171,0.47761,0.55683,2.56468,0.82639,0.000489853,0.000489853,0.000489853
13,11.477,0.71287,1.91664,1.01012,0.52077,0.45437,0.55182,0.49195,0.54178,2.38875,0.8302,0.000464476,0.000464476,0.000464476
14,12.4988,0.73128,1.90411,1.04721,0.52344,0.66087,0.65146,0.57699,0.5198,2.16388,0.83114,0.000439099,0.000439099,0.000439099
15,13.5136,0.75479,1.81569,1.05495,0.55641,0.66976,0.66446,0.58926,0.55124,2.09944,0.85297,0.000413722,0.000413722,0.000413722
16,14.3153,0.70912,1.69857,1.0171,0.49622,0.53214,0.59866,0.51971,0.55182,2.18547,0.85121,0.000388345,0.000388345,0.000388345
17,15.0659,0.70923,1.67492,1.01748,0.61582,0.53393,0.61199,0.54719,0.52905,2.12232,0.84786,0.000362968,0.000362968,0.000362968
18,15.8403,0.70811,1.64163,1.03373,0.58522,0.64157,0.676,0.60209,0.49792,1.89075,0.83359,0.000337591,0.000337591,0.000337591
19,16.558,0.71025,1.5488,1.02834,0.57352,0.69009,0.75358,0.68914,0.5011,1.75328,0.83516,0.000312214,0.000312214,0.000312214
20,17.3271,0.71768,1.56354,1.023,0.58326,0.73407,0.78175,0.72357,0.48099,1.57225,0.84089,0.000286837,0.000286837,0.000286837
21,19.1808,0.50418,1.42164,0.89491,0.62096,0.79949,0.78423,0.7328,0.48098,1.49965,0.84717,0.00026146,0.00026146,0.00026146
22,20.3149,0.48313,1.41098,0.94423,0.58677,0.79028,0.78675,0.72245,0.49141,1.42362,0.85156,0.000236083,0.000236083,0.000236083
23,21.3142,0.47808,1.34095,0.90634,0.61293,0.79064,0.7896,0.71865,0.49702,1.37046,0.85697,0.000210706,0.000210706,0.000210706
24,22.2208,0.46931,1.34669,0.8943,0.54232,0.81268,0.75169,0.68267,0.48396,1.25363,0.85844,0.000185329,0.000185329,0.000185329
25,23.1604,0.41436,1.24454,0.86366,0.68329,0.77649,0.76213,0.69468,0.47679,1.21383,0.85632,0.000159952,0.000159952,0.000159952
26,23.9243,0.45195,1.22208,0.85971,0.70819,0.77965,0.7736,0.70975,0.46405,1.17327,0.86075,0.000134575,0.000134575,0.000134575
27,24.6856,0.42614,1.23131,0.86786,0.60312,0.83311,0.78685,0.72714,0.45943,1.15962,0.86212,0.000109198,0.000109198,0.000109198
28,25.4469,0.42658,1.18048,0.88246,0.67642,0.80718,0.80711,0.74986,0.45104,1.13096,0.86392,8.3821e-05,8.3821e-05,8.3821e-05
29,26.2609,0.43056,1.16706,0.87265,0.69142,0.80681,0.80202,0.74531,0.4507,1.11842,0.86532,5.8444e-05,5.8444e-05,5.8444e-05
30,26.9697,0.40454,1.16341,0.85442,0.69681,0.79512,0.79423,0.7377,0.45517,1.10074,0.8721,3.3067e-05,3.3067e-05,3.3067e-05
