epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0009,0.93586,4.08162,1.06371,0.00268,0.46755,0.01889,0.00814,0.49715,4.05424,0.92445,3.845e-05,3.845e-05,3.845e-05
2,27.6703,0.79239,3.87649,1.01913,0.00186,0.18779,0.04141,0.02033,0.46894,4.05563,0.89297,8.17985e-05,8.17985e-05,8.17985e-05
3,39.6356,0.7949,3.58581,1.00745,0.00231,0.25304,0.06111,0.04218,0.4605,4.01797,0.87267,0.000122102,0.000122102,0.000122102
4,51.1521,0.72313,3.23948,0.98434,0.00505,0.72584,0.11079,0.0844,0.44618,3.86514,0.83238,0.00015936,0.00015936,0.00015936
5,69.8046,0.73821,3.14426,0.99123,0.00642,0.85079,0.17144,0.1499,0.48915,3.66885,0.84471,0.000193573,0.000193573,0.000193573
6,82.8165,0.76322,2.84488,1.02006,0.00673,0.92857,0.22916,0.19989,0.57485,3.39357,0.86284,0.00022474,0.00022474,0.00022474
7,96.5128,0.70951,2.69531,0.9832,0.00713,0.98413,0.24053,0.21341,0.55493,3.21503,0.84941,0.000252863,0.000252863,0.000252863
8,108.71,0.75469,2.42157,1.03358,0.60567,0.13483,0.30914,0.27611,0.58168,3.11616,0.85973,0.00027794,0.00027794,0.00027794
9,121.239,0.82146,2.23493,1.03537,0.88835,0.05097,0.41962,0.38117,0.60286,3.00514,0.87184,0.000299972,0.000299972,0.000299972
10,135.172,0.75432,2.17819,1.01186,0.89633,0.10493,0.50719,0.47122,0.53602,2.79313,0.84509,0.000318958,0.000318958,0.000318958
11,148.307,0.77527,2.07765,1.00574,0.80557,0.31114,0.55788,0.51428,0.55241,2.54328,0.85919,0.0003349,0.0003349,0.0003349
12,169.407,0.70974,1.92953,0.98931,0.54915,0.478,0.60685,0.54251,0.57754,2.29414,0.86804,0.000347796,0.000347796,0.000347796
13,189.135,0.72997,1.83562,0.99786,0.44522,0.59791,0.66563,0.60544,0.55992,2.05488,0.86861,0.000357647,0.000357647,0.000357647
14,216.651,0.72445,1.72711,0.99156,0.48624,0.80508,0.70852,0.63859,0.55862,1.87129,0.84863,0.000364452,0.000364452,0.000364452
15,236.164,0.74152,1.66172,1.02037,0.51252,0.82083,0.78993,0.72461,0.59609,1.77961,0.87623,0.000368213,0.000368213,0.000368213
16,253.036,0.68791,1.6699,0.99417,0.51464,0.79638,0.76527,0.68405,0.54283,1.61853,0.85948,0.000368928,0.000368928,0.000368928
17,270.748,0.71846,1.58449,1.02758,0.54938,0.82002,0.78541,0.69,0.52721,1.57321,0.8533,0.000362968,0.000362968,0.000362968
18,293.903,0.70385,1.55835,1.0063,0.60641,0.67976,0.76374,0.68352,0.54816,1.52733,0.85504,0.000337591,0.000337591,0.000337591
19,319.709,0.67524,1.49305,1.00477,0.57195,0.8251,0.79984,0.72082,0.54144,1.45691,0.83932,0.000312214,0.000312214,0.000312214
20,362.73,0.72145,1.51832,1.00278,0.66645,0.78593,0.83906,0.77616,0.51165,1.34392,0.84255,0.000286837,0.000286837,0.000286837
21,380.142,0.51467,1.30602,0.88459,0.6287,0.78049,0.82501,0.76274,0.50065,1.33517,0.8396,0.00026146,0.00026146,0.00026146
22,397.821,0.53843,1.27543,0.90613,0.63461,0.75644,0.80781,0.7447,0.48699,1.30053,0.82995,0.000236083,0.000236083,0.000236083
23,415.698,0.47939,1.15896,0.88635,0.6645,0.79036,0.8114,0.75123,0.47651,1.30412,0.82609,0.000210706,0.000210706,0.000210706
24,430.765,0.46252,1.20086,0.87699,0.67104,0.75443,0.81922,0.76756,0.4447,1.25229,0.82448,0.000185329,0.000185329,0.000185329
25,452.89,0.45873,1.19893,0.88943,0.72092,0.84764,0.84547,0.79874,0.42948,1.19167,0.82575,0.000159952,0.000159952,0.000159952
26,475.721,0.4266,1.13592,0.87069,0.74086,0.8007,0.90022,0.81349,0.41017,1.08122,0.8295,0.000134575,0.000134575,0.000134575
27,498.676,0.43691,1.08699,0.87614,0.74417,0.79727,0.89856,0.81086,0.40538,1.0452,0.83113,0.000109198,0.000109198,0.000109198
28,518.128,0.44362,1.09039,0.88718,0.7089,0.82727,0.90442,0.8222,0.39724,0.99633,0.8362,8.3821e-05,8.3821e-05,8.3821e-05
29,534.926,0.41189,1.04038,0.8653,0.71397,0.81826,0.90886,0.82542,0.39966,0.98865,0.83834,5.8444e-05,5.8444e-05,5.8444e-05
30,561.192,0.42113,1.01051,0.87077,0.70065,0.9078,0.90983,0.82516,0.39798,0.96241,0.84102,3.3067e-05,3.3067e-05,3.3067e-05
