epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13631,0.92043,4.07143,1.0623,0.00266,0.46909,0.03825,0.01552,0.52465,4.04711,0.92442,3.845e-05,3.845e-05,3.845e-05
2,19.0524,0.80408,3.85632,1.01145,0.00179,0.17544,0.03134,0.01286,0.48607,4.04399,0.88851,8.17985e-05,8.17985e-05,8.17985e-05
3,31.8474,0.81035,3.53989,1.00381,0.00291,0.4631,0.06489,0.04385,0.47462,3.97853,0.86795,0.000122102,0.000122102,0.000122102
4,43.2498,0.74568,3.21643,0.97938,0.00584,0.81931,0.12575,0.09746,0.49142,3.82118,0.85414,0.00015936,0.00015936,0.00015936
5,53.8062,0.74947,3.1455,0.98685,0.00686,0.90635,0.18471,0.14965,0.54701,3.57939,0.86065,0.000193573,0.000193573,0.000193573
6,64.9312,0.74017,2.84562,1.012,0.00695,0.98413,0.24061,0.20487,0.56326,3.41286,0.85194,0.00022474,0.00022474,0.00022474
7,75.1001,0.7026,2.67855,0.98022,0.00693,0.98413,0.235,0.20669,0.51198,3.27801,0.82166,0.000252863,0.000252863,0.000252863
8,85.7789,0.76036,2.44599,1.03399,0.88889,0.03598,0.25332,0.22715,0.49244,3.19437,0.81993,0.00027794,0.00027794,0.00027794
9,96.8754,0.81986,2.26079,1.03112,1,0.0371,0.30517,0.27408,0.54472,3.06682,0.83237,0.000299972,0.000299972,0.000299972
10,109.397,0.7595,2.19568,1.01067,0.93708,0.10207,0.40726,0.36248,0.51161,2.88105,0.81449,0.000318958,0.000318958,0.000318958
11,123.22,0.76949,2.11053,1.01007,0.77087,0.17546,0.50695,0.44695,0.54386,2.65029,0.82809,0.0003349,0.0003349,0.0003349
12,140.368,0.71566,1.94655,0.98757,0.78624,0.33556,0.53512,0.46941,0.58788,2.47843,0.84612,0.000347796,0.000347796,0.000347796
13,159.394,0.71484,1.82826,0.98856,0.36489,0.51618,0.50229,0.441,0.56419,2.34337,0.83809,0.000357647,0.000357647,0.000357647
14,178.233,0.71582,1.72416,0.99851,0.36476,0.52627,0.50437,0.44212,0.56929,2.22006,0.83219,0.000364452,0.000364452,0.000364452
15,195.215,0.70179,1.6736,0.99975,0.40674,0.63448,0.56698,0.50127,0.5584,2.12548,0.82321,0.000368213,0.000368213,0.000368213
16,213.33,0.69092,1.67703,0.98962,0.44357,0.78597,0.70565,0.64125,0.54569,1.89106,0.83555,0.000368928,0.000368928,0.000368928
17,231.186,0.69258,1.58325,1.02233,0.5321,0.79375,0.7398,0.67613,0.51913,1.73949,0.83236,0.000362968,0.000362968,0.000362968
18,249.326,0.67703,1.50881,0.98461,0.65648,0.87282,0.78662,0.72557,0.49805,1.59079,0.82594,0.000337591,0.000337591,0.000337591
19,267.599,0.67738,1.46511,1.00839,0.64828,0.87841,0.80355,0.74377,0.50908,1.56818,0.82647,0.000312214,0.000312214,0.000312214
20,285.372,0.6986,1.49162,0.99793,0.60628,0.8254,0.79122,0.73195,0.53326,1.49861,0.8413,0.000286837,0.000286837,0.000286837
21,303.179,0.49949,1.28912,0.88831,0.62135,0.84554,0.79271,0.73699,0.52221,1.45762,0.84339,0.00026146,0.00026146,0.00026146
22,325.197,0.50635,1.2585,0.88995,0.61818,0.77861,0.77141,0.71284,0.49873,1.50143,0.83144,0.000236083,0.000236083,0.000236083
23,342.672,0.4733,1.19959,0.87656,0.66238,0.65716,0.74346,0.67311,0.48305,1.47923,0.82489,0.000210706,0.000210706,0.000210706
24,359.101,0.45776,1.19812,0.88004,0.50117,0.75121,0.80098,0.74583,0.47604,1.31593,0.81886,0.000185329,0.000185329,0.000185329
25,376.47,0.45167,1.12771,0.88398,0.84586,0.67052,0.844,0.77685,0.4626,1.21069,0.82042,0.000159952,0.000159952,0.000159952
26,393.639,0.43238,1.09886,0.87623,0.73933,0.81626,0.89311,0.81364,0.4443,1.07335,0.82601,0.000134575,0.000134575,0.000134575
27,410.603,0.44871,1.05633,0.88749,0.83449,0.81689,0.89687,0.82385,0.44117,1.03499,0.83059,0.000109198,0.000109198,0.000109198
28,425.936,0.43784,1.05022,0.88087,0.90213,0.80765,0.89693,0.81939,0.43927,0.97856,0.83807,8.3821e-05,8.3821e-05,8.3821e-05
29,443.091,0.41564,1.02895,0.86475,0.90773,0.83166,0.89538,0.81819,0.43774,0.95972,0.83863,5.8444e-05,5.8444e-05,5.8444e-05
30,460.457,0.41991,0.98191,0.86495,0.90705,0.8425,0.89643,0.83852,0.42892,0.93628,0.83805,3.3067e-05,3.3067e-05,3.3067e-05
