epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63099,1.28246,4.5161,1.14393,0.00046,0.01389,0.00045,0.00021,0.83442,4.35694,0.95509,3.845e-05,3.845e-05,3.845e-05
2,7.63238,1.12233,4.45885,1.08264,0.00114,0.0463,0.00082,0.00064,0.72318,4.21729,0.88613,7.90071e-05,7.90071e-05,7.90071e-05
3,10.7631,1.07076,4.27414,1.03496,0.00212,0.13161,0.00165,0.00051,0.78492,4.15649,0.88303,0.000113474,0.000113474,0.000113474
4,13.9662,0.95979,4.05922,0.98492,0.00282,0.18007,0.01043,0.00551,0.72203,4.11651,0.8624,0.00014185,0.00014185,0.00014185
5,19.0483,1.00744,3.99542,0.99975,0.00455,0.33638,0.03467,0.01638,0.75917,4.08402,0.87461,0.000164135,0.000164135,0.000164135
6,23.5568,0.74771,3.55643,0.92003,0.00477,0.48933,0.07271,0.03816,0.76966,4.03534,0.87778,0.000180331,0.000180331,0.000180331
7,27.5819,0.78523,3.45589,0.91277,0.00698,0.6925,0.23771,0.17391,0.75669,3.92024,0.86088,0.000190435,0.000190435,0.000190435
8,33.1791,0.78119,3.17351,0.91132,0.00853,0.8082,0.21849,0.16683,0.74976,3.77985,0.8571,0.000194449,0.000194449,0.000194449
9,36.9631,0.77459,3.0073,0.94847,0.00871,0.80974,0.22034,0.17547,0.7527,3.63338,0.86573,0.000192373,0.000192373,0.000192373
10,40.2879,0.74469,2.8394,0.90311,0.00965,0.93474,0.23157,0.18369,0.76928,3.48065,0.87676,0.000184206,0.000184206,0.000184206
11,48.4976,0.71574,2.74245,0.90821,0.01034,0.97178,0.25692,0.21385,0.74127,3.31958,0.88151,0.000169949,0.000169949,0.000169949
12,56.439,0.70798,2.62121,0.90202,0.73958,0.07827,0.29461,0.24968,0.7144,3.15185,0.88637,0.000149601,0.000149601,0.000149601
13,61.3955,0.68454,2.55873,0.91143,0.62959,0.17019,0.33255,0.28974,0.71483,2.99618,0.90131,0.000123163,0.000123163,0.000123163
14,74.214,0.72964,2.46947,0.92224,0.60548,0.32092,0.3629,0.31648,0.70216,2.83416,0.89736,9.06343e-05,9.06343e-05,9.06343e-05
15,84.1403,0.7379,2.43358,0.92218,0.60102,0.34795,0.38181,0.33511,0.6921,2.75338,0.89379,5.20152e-05,5.20152e-05,5.20152e-05
