epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2109,0.86888,3.84799,1.11612,0.01374,0.95944,0.09429,0.07828,0.60107,3.80383,0.93477,3.845e-05,3.845e-05,3.845e-05
2,71.387,0.7485,3.59482,1.07545,0.01044,1,0.18957,0.16953,0.46126,3.75896,0.87777,7.90071e-05,7.90071e-05,7.90071e-05
3,103.795,0.7223,3.26823,1.08555,0.01128,0.98413,0.21857,0.19397,0.48269,3.71407,0.87619,0.000113474,0.000113474,0.000113474
