epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5189,0.93297,3.88982,1.16571,0.00621,0.8545,0.10551,0.08729,0.60421,3.86222,1.00797,3.845e-05,3.845e-05,3.845e-05
2,83.6382,0.79151,3.63071,1.09464,0.00777,0.94709,0.19092,0.16894,0.50412,3.7889,0.92346,6.3654e-05,6.3654e-05,6.3654e-05
3,123.802,0.73274,3.40152,1.0547,0.0093,0.98413,0.22709,0.20342,0.50058,3.75219,0.91083,6.60186e-05,6.60186e-05,6.60186e-05
4,157.592,0.62996,3.21992,1.01073,0.01042,0.98413,0.21889,0.19664,0.48302,3.72503,0.89781,4.5544e-05,4.5544e-05,4.5544e-05
