epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.68676,0.90358,4.03378,1.09742,0.00313,0.51689,0.04609,0.02364,0.58776,4.04093,0.92803,0.000213611,0.000213611,0.000213611
2,3.55204,0.9343,4.08594,1.06017,0.00332,0.54577,0.06693,0.02713,0.58814,4.05588,0.92865,0.000454436,0.000454436,0.000454436
3,4.16707,1.04225,3.82446,1.11259,0.00194,0.27266,0.03345,0.02465,0.67179,4.07216,0.92241,0.000678343,0.000678343,0.000678343
4,5.3106,1.10555,3.37803,1.0953,0.0063,0.84524,0.15973,0.12366,0.71829,3.67608,0.91579,0.000692869,0.000692869,0.000692869
5,6.11271,0.90505,2.92255,1.02979,0.00664,0.87302,0.16189,0.1324,0.69228,3.53689,0.89941,0.000667492,0.000667492,0.000667492
6,6.88916,0.92986,2.71202,1.08622,0.0068,0.92857,0.27466,0.23208,0.59915,3.32104,0.86703,0.000642115,0.000642115,0.000642115
7,7.59656,0.83335,2.55253,1.04524,0.00672,0.92857,0.26417,0.23076,0.60296,3.22202,0.87236,0.000616738,0.000616738,0.000616738
8,8.28138,0.82834,2.34922,1.05086,0.36343,0.44486,0.27215,0.23414,0.60464,3.17545,0.87521,0.000591361,0.000591361,0.000591361
9,8.94204,0.87346,2.31353,1.08848,0.50551,0.31012,0.30633,0.269,0.58264,3.07074,0.84874,0.000565984,0.000565984,0.000565984
10,9.64146,0.82848,2.21308,1.05918,0.66252,0.20671,0.44156,0.36557,0.5975,2.74755,0.83629,0.000540607,0.000540607,0.000540607
11,10.3124,0.83203,2.12175,1.04083,0.67896,0.24223,0.46772,0.37582,0.64349,2.65447,0.84406,0.00051523,0.00051523,0.00051523
12,11.1014,0.79527,2.03233,1.02567,0.37448,0.34636,0.47932,0.40987,0.57628,2.46157,0.82422,0.000489853,0.000489853,0.000489853
13,12.0732,0.72389,1.9267,1.00344,0.45011,0.47504,0.50113,0.4409,0.54583,2.3319,0.81417,0.000464476,0.000464476,0.000464476
14,12.8398,0.74384,1.83272,1.04799,0.42733,0.61893,0.56935,0.50538,0.55128,2.0337,0.83204,0.000439099,0.000439099,0.000439099
15,13.531,0.77583,1.84421,1.04343,0.41694,0.59077,0.58402,0.51163,0.56165,1.96398,0.83555,0.000413722,0.000413722,0.000413722
16,14.342,0.70188,1.7136,1.02005,0.34853,0.55078,0.5716,0.50989,0.55105,1.97376,0.83984,0.000388345,0.000388345,0.000388345
17,15.012,0.72224,1.63512,1.03307,0.45367,0.57267,0.57116,0.51256,0.53792,1.89969,0.83689,0.000362968,0.000362968,0.000362968
18,15.7843,0.74113,1.65916,1.05366,0.6613,0.49653,0.5774,0.52052,0.52227,1.74551,0.83898,0.000337591,0.000337591,0.000337591
19,16.4901,0.69587,1.58643,1.0305,0.6585,0.53177,0.5727,0.52027,0.53143,1.65061,0.84315,0.000312214,0.000312214,0.000312214
20,17.1646,0.71783,1.52676,1.03494,0.64875,0.53446,0.61635,0.54893,0.53625,1.50971,0.85965,0.000286837,0.000286837,0.000286837
21,18.6938,0.51864,1.39559,0.91499,0.59796,0.62257,0.62933,0.56927,0.52812,1.44654,0.86239,0.00026146,0.00026146,0.00026146
22,19.412,0.50947,1.32183,0.95216,0.81143,0.60017,0.68055,0.607,0.49346,1.38588,0.8615,0.000236083,0.000236083,0.000236083
23,20.2168,0.4787,1.28484,0.90364,0.82451,0.60927,0.69951,0.61563,0.48425,1.35545,0.86182,0.000210706,0.000210706,0.000210706
24,20.9624,0.46777,1.24326,0.90285,0.50014,0.8448,0.75475,0.66292,0.47911,1.31146,0.87044,0.000185329,0.000185329,0.000185329
25,21.6444,0.46016,1.20816,0.89147,0.70047,0.83121,0.8309,0.73815,0.46795,1.27532,0.867,0.000159952,0.000159952,0.000159952
26,22.3279,0.4565,1.1518,0.87697,0.66345,0.90035,0.86796,0.76337,0.45041,1.18566,0.87121,0.000134575,0.000134575,0.000134575
27,23.0087,0.43221,1.16381,0.88009,0.66123,0.93221,0.86703,0.76023,0.44748,1.15412,0.87073,0.000109198,0.000109198,0.000109198
28,23.6921,0.42942,1.1321,0.88289,0.62466,0.94371,0.91294,0.81826,0.43389,1.10482,0.86332,8.3821e-05,8.3821e-05,8.3821e-05
29,24.4132,0.4396,1.12593,0.8863,0.62073,0.93363,0.9155,0.82543,0.42812,1.09788,0.85867,5.8444e-05,5.8444e-05,5.8444e-05
30,25.1707,0.43342,1.10757,0.87954,0.61651,0.92202,0.91533,0.82808,0.41775,1.07039,0.85538,3.3067e-05,3.3067e-05,3.3067e-05
