epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.4072,0.87332,3.84418,1.11766,0.01341,0.94092,0.10251,0.07848,0.6109,3.8063,0.94358,3.845e-05,3.845e-05,3.845e-05
2,143.832,0.74823,3.60053,1.07261,0.01155,1,0.13499,0.11591,0.46936,3.76884,0.8875,6.3654e-05,6.3654e-05,6.3654e-05
3,198.959,0.71262,3.38037,1.07982,0.01068,1,0.18585,0.16343,0.46809,3.74625,0.87757,6.60186e-05,6.60186e-05,6.60186e-05
4,233.484,0.67872,3.23618,1.04486,0.01094,0.98413,0.22409,0.20008,0.47351,3.73093,0.88168,4.5544e-05,4.5544e-05,4.5544e-05
