epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68528,1.12748,4.42325,1.06249,0.00106,0.05093,0.00272,0.0006,0.54164,4.2542,0.87931,8.459e-05,8.459e-05,8.459e-05
2,6.40256,0.95768,4.20902,1.00244,0.00169,0.08086,0.02459,0.01581,0.812,4.18311,0.8921,0.000165197,0.000165197,0.000165197
3,8.91821,0.90433,3.9196,0.99686,0.00425,0.31049,0.0406,0.03158,0.56555,4.05614,0.84853,0.000233622,0.000233622,0.000233622
4,11.1014,0.92539,3.74927,0.95817,0.00813,0.71367,0.18497,0.13327,0.60068,3.90628,0.84473,0.000289867,0.000289867,0.000289867
5,13.3952,0.87261,3.54729,0.94616,0.0091,0.85141,0.21722,0.1665,0.68552,3.63499,0.84755,0.000333931,0.000333931,0.000333931
6,15.7529,0.74759,2.99192,0.89027,0.71106,0.13333,0.28556,0.2347,0.68341,3.34929,0.85206,0.000365813,0.000365813,0.000365813
7,19.0503,0.73167,2.8932,0.91565,0.67513,0.24974,0.37126,0.32009,0.67998,2.89538,0.86801,0.000385515,0.000385515,0.000385515
8,22.0732,0.72654,2.6114,0.88111,0.45202,0.3161,0.39997,0.3419,0.6738,2.63083,0.86538,0.000393036,0.000393036,0.000393036
9,24.1113,0.68892,2.50575,0.89013,0.31503,0.44772,0.44678,0.37873,0.6448,2.25837,0.86574,0.000362968,0.000362968,0.000362968
10,27.0173,0.66508,2.39055,0.89337,0.30819,0.53402,0.43449,0.36828,0.65225,2.12823,0.88202,0.000312214,0.000312214,0.000312214
11,29.9614,0.6738,2.34507,0.89109,0.62323,0.46424,0.50606,0.44404,0.59096,1.92831,0.87083,0.00026146,0.00026146,0.00026146
12,32.6912,0.67774,2.16206,0.871,0.47345,0.56257,0.54547,0.47225,0.57515,1.842,0.86692,0.000210706,0.000210706,0.000210706
13,35.633,0.6348,2.05367,0.86999,0.66956,0.52767,0.57751,0.51502,0.54573,1.79213,0.86379,0.000159952,0.000159952,0.000159952
14,37.4507,0.62871,2.06132,0.87568,0.6796,0.53895,0.57948,0.50947,0.54049,1.76885,0.86275,0.000109198,0.000109198,0.000109198
15,40.533,0.64067,1.98355,0.87608,0.65561,0.55661,0.58142,0.49888,0.54348,1.75804,0.86426,5.8444e-05,5.8444e-05,5.8444e-05
