epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.07632,1.09688,4.44042,1.0506,0.00112,0.05093,0.00213,0.00052,0.54939,4.26572,0.88554,8.459e-05,8.459e-05,8.459e-05
2,12.1508,0.9418,4.19622,0.99748,0.00109,0.05093,0.00149,0.00038,0.77219,4.19266,0.89504,0.000165197,0.000165197,0.000165197
3,15.7315,0.86982,3.99517,0.95794,0.00111,0.05093,0.00207,0.0008,0.59464,4.10472,0.86632,0.000233622,0.000233622,0.000233622
4,18.3435,0.87839,3.791,0.97633,0.00527,0.37826,0.15041,0.12814,0.63301,3.94726,0.85559,0.000289867,0.000289867,0.000289867
5,20.8422,0.85777,3.60769,0.96803,0.00882,0.76129,0.33579,0.23647,0.77761,3.66763,0.87085,0.000333931,0.000333931,0.000333931
6,23.2191,0.74121,3.03257,0.9074,0.71399,0.1117,0.37442,0.31069,0.70397,3.31953,0.86991,0.000365813,0.000365813,0.000365813
7,25.9564,0.68987,2.88905,0.87505,0.62563,0.23496,0.40842,0.34066,0.6692,2.92105,0.87369,0.000385515,0.000385515,0.000385515
8,29.0744,0.72442,2.69592,0.9041,0.48099,0.37399,0.40035,0.33419,0.66244,2.67487,0.87362,0.000393036,0.000393036,0.000393036
9,30.9561,0.7013,2.51895,0.91643,0.28281,0.54734,0.40974,0.35555,0.65021,2.2683,0.87051,0.000362968,0.000362968,0.000362968
10,33.3172,0.69249,2.31438,0.88892,0.42129,0.49577,0.42502,0.36126,0.67202,2.11225,0.88187,0.000312214,0.000312214,0.000312214
11,35.9338,0.70516,2.3247,0.89657,0.51434,0.47296,0.45847,0.3891,0.66348,1.95368,0.89476,0.00026146,0.00026146,0.00026146
12,37.9518,0.66232,2.18379,0.89617,0.49831,0.50469,0.5199,0.45492,0.63378,1.8884,0.89511,0.000210706,0.000210706,0.000210706
13,40.8343,0.6442,2.14485,0.89798,0.51669,0.52557,0.48034,0.41844,0.58137,1.83755,0.88466,0.000159952,0.000159952,0.000159952
14,43.4567,0.68107,2.08301,0.91324,0.47642,0.56852,0.49685,0.43895,0.56637,1.83783,0.88128,0.000109198,0.000109198,0.000109198
15,46.2629,0.70581,2.03679,0.90871,0.48886,0.58278,0.50224,0.44986,0.57141,1.83164,0.87954,5.8444e-05,5.8444e-05,5.8444e-05
