epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.66804,0.96623,4.09779,1.1318,0.00269,0.51843,0.04757,0.01917,0.66969,4.11184,0.97352,0.000213611,0.000213611,0.000213611
2,1.3127,1.00062,3.97446,1.08082,0.00301,0.39237,0.0943,0.04983,0.61467,4.03537,0.91015,0.000454436,0.000454436,0.000454436
3,2.12637,0.95795,3.47463,1.09786,0.0029,0.38003,0.12722,0.05905,0.63448,4.00453,0.91764,0.000678343,0.000678343,0.000678343
4,3.51324,0.9947,3.18178,1.09011,0.00709,0.98413,0.19129,0.13284,0.79901,3.59592,0.93229,0.000692869,0.000692869,0.000692869
5,4.2618,0.976,2.90979,1.08432,0.00692,0.98413,0.2167,0.15217,0.76887,3.46927,0.89375,0.000667492,0.000667492,0.000667492
6,4.9204,0.9271,2.78793,1.0952,0.00719,1,0.23301,0.19258,0.70253,3.20053,0.87505,0.000642115,0.000642115,0.000642115
7,5.56638,0.84348,2.62204,1.06581,0.91477,0.01587,0.27567,0.23022,0.66861,3.11321,0.85701,0.000616738,0.000616738,0.000616738
8,6.28954,0.83354,2.46376,1.02803,0.58532,0.14991,0.30916,0.25262,0.69809,3.0605,0.88123,0.000591361,0.000591361,0.000591361
9,7.00341,0.88221,2.33259,1.09105,0.77778,0.07755,0.33598,0.27589,0.67574,3.01602,0.87485,0.000565984,0.000565984,0.000565984
10,7.67671,0.85311,2.23087,1.06754,0.69242,0.24947,0.41433,0.35737,0.68047,2.802,0.87588,0.000540607,0.000540607,0.000540607
11,8.40704,0.84007,2.1859,1.05599,0.63975,0.26617,0.44097,0.37859,0.6864,2.73947,0.87897,0.00051523,0.00051523,0.00051523
12,9.21039,0.78556,2.0557,1.02825,0.55634,0.3966,0.45649,0.39071,0.62945,2.57912,0.85899,0.000489853,0.000489853,0.000489853
13,9.91794,0.78089,1.91115,1.02357,0.47188,0.43703,0.47776,0.41709,0.61093,2.44908,0.849,0.000464476,0.000464476,0.000464476
14,10.6828,0.7649,1.89428,1.04801,0.39858,0.69821,0.46339,0.38891,0.63025,2.20812,0.85235,0.000439099,0.000439099,0.000439099
15,11.3418,0.85454,1.97849,1.08715,0.45176,0.67416,0.49071,0.41546,0.62543,2.12325,0.84606,0.000413722,0.000413722,0.000413722
16,11.9815,0.75003,1.74601,1.02703,0.3757,0.78205,0.59136,0.5145,0.60563,1.9983,0.84664,0.000388345,0.000388345,0.000388345
17,12.6321,0.72933,1.68778,1.01822,0.45369,0.64681,0.60398,0.51645,0.59313,1.96282,0.84361,0.000362968,0.000362968,0.000362968
18,13.3037,0.74975,1.73825,1.04507,0.5753,0.63119,0.60961,0.54099,0.6029,1.84685,0.8602,0.000337591,0.000337591,0.000337591
19,13.9809,0.74332,1.64304,1.03733,0.57869,0.63461,0.62963,0.55046,0.6124,1.74573,0.86971,0.000312214,0.000312214,0.000312214
20,14.6458,0.74028,1.58464,1.02116,0.50573,0.82114,0.71787,0.6339,0.59369,1.57016,0.88518,0.000286837,0.000286837,0.000286837
21,16.1586,0.55425,1.53989,0.91159,0.5572,0.72976,0.72427,0.64288,0.56999,1.49261,0.88321,0.00026146,0.00026146,0.00026146
22,16.878,0.55745,1.46174,0.94789,0.59291,0.67641,0.66205,0.60203,0.52906,1.37058,0.86183,0.000236083,0.000236083,0.000236083
23,17.5938,0.52315,1.37361,0.91622,0.67974,0.62377,0.65612,0.59418,0.52155,1.34524,0.86345,0.000210706,0.000210706,0.000210706
24,20.8022,0.51641,1.42483,0.913,0.58123,0.83492,0.79042,0.7102,0.51973,1.26721,0.87033,0.000185329,0.000185329,0.000185329
25,21.5993,0.48622,1.33823,0.89956,0.71372,0.72278,0.8035,0.72366,0.52007,1.2542,0.87227,0.000159952,0.000159952,0.000159952
26,26.9811,0.49748,1.2624,0.87707,0.75773,0.76555,0.84435,0.76524,0.52257,1.22357,0.88509,0.000134575,0.000134575,0.000134575
27,32.2846,0.49858,1.28781,0.89585,0.75789,0.73158,0.84337,0.76295,0.52475,1.22649,0.88526,0.000109198,0.000109198,0.000109198
28,34.5545,0.47061,1.25616,0.89533,0.68744,0.81829,0.86671,0.78888,0.51264,1.20862,0.88284,8.3821e-05,8.3821e-05,8.3821e-05
29,41.7798,0.47866,1.22872,0.88588,0.64885,0.83672,0.79361,0.72314,0.50698,1.19815,0.87948,5.8444e-05,5.8444e-05,5.8444e-05
30,42.5656,0.4587,1.24056,0.87049,0.68447,0.77673,0.79717,0.73218,0.49734,1.17439,0.87638,3.3067e-05,3.3067e-05,3.3067e-05
