epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3873,0.86888,3.84799,1.11612,0.01374,0.95944,0.09429,0.07828,0.60107,3.80383,0.93477,3.845e-05,3.845e-05,3.845e-05
2,72.2592,0.75038,3.61613,1.07217,0.01102,1,0.14642,0.12626,0.47635,3.7605,0.88551,6.3654e-05,6.3654e-05,6.3654e-05
3,101.545,0.71304,3.36009,1.08577,0.01144,0.98413,0.18955,0.16801,0.46067,3.73777,0.87174,6.60186e-05,6.60186e-05,6.60186e-05
4,129.198,0.66943,3.20825,1.03725,0.01138,0.98413,0.21484,0.19234,0.47364,3.71325,0.88283,4.5544e-05,4.5544e-05,4.5544e-05
